A1,A12A,A12B,A12B1,A12B2A,A12B2B,A12B2C,A12B2C2,A12B3A,A12B3B,A12B3C,A12B3C2,A12C,A3,A4,A41,A5,A51,A512,B1,B11B1,B2,B2O,B3,B4,B5,B6,B6O,B7,B8A,B8B,B8C,B8D,B8DO,B9,C1,C2,C22A,C22B,C22C,C3,D1,D1O,D2,D2O,D3,D3O,E1,E11A,E11B,E11C,E21,E22,E23,E3,E32A,E32AO,E32BA,E32BAO,E32BB,E32BBO,E32BC,E32BCO,F1,F11,F21,F22,F23,F3,F321,F322,F323,G1,G2,G3,G4,G5,G6,G7A,G7B,G8,G81,G9,S1,code,w
2,2,1,3, , , , , , , , ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,5,4,15,6,2,,1,1,4,230940,23,1.248407558
2,2,1,3, , , , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,5,2,13,4,2,,1,,4,231009,23,1.248407558
2,2,1,4, , , , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,4,3,12,3,2,,2, ,4,231027,23,1.248407558
2,1,1,2, , , , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,5,4,22,1,2,,2, ,4,231101,23,1.248407558
2,2,3, , , , , ,1,5,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,5,5,12,5,5,,1,2,4,231788,23,1.610244639
1, , , , , , , , , , , , ,1,1,3,2, , ,1,53838,4, ,1,7,4,4, ,5,,3,4,6, ,5, , , , , , ,10, ,1, ,5, ,1,1,2,3,2,1,1,1, , , , , , , , ,2, ,2,, ,1, , , ,1,2,4,5,14,4,2,2,1,1,4,231104,23,1.248407558
1, , , , , , , , , , , , ,8,1,4,1,1, ,2, ,2, ,2,7,5,2, ,3,7,5,3,1, ,7, , , , , , ,8, ,1, ,2, ,1,1,2,5,1,2,3,1, , , , , , , , ,2, ,6,2,4,2,8,9,6,1,1,3,5,14,4,2,,2, ,4,231466,23,1.209977275
1, , , , , , , , , , , , ,1,2, ,2, , ,2, ,3, ,1,6,2,5, ,5,5,2,2,5, ,7, , , , , , ,4, ,1, ,1, ,1,7,, ,1,1,1,1, , , , , , , , ,2, ,2,, ,1, , , ,1,2,4,6,15,6,3,2,1,1,4,230381,23,1.248407558
1, , , , , , , , , , , , ,5,1,2,2, , ,2, ,, ,1,7,3,1, ,5,7,3,2,2, ,3, , , , , , ,2, ,1, ,2, ,1,7,9,,1,1,1,1, , , , , , , , ,2, ,, , ,1, , , ,1,2,5,4,13,,2,2,1,1,4,230916,23,1.248407558
1, , , , , , , , , , , , ,4,1,3,1,1, ,2, ,1, ,1,3,1,2, ,5,2,1,2,4, ,6, , , , , , ,1, ,1, ,1, ,2, , , ,,,,1, , , , , , , , ,2, ,1,2,3,1, , , ,2,2,4,5,14,4,3,,1,,4,230909,23,1.248407558
1, , , , , , , , , , , , ,8,2, ,1,1, ,2, ,3, ,1,8,1,2, ,5,8,2,2,4, ,5, , , , , , ,3, ,1, ,3, ,2, , , ,,,,1, , , , , , , , ,2, ,, , ,1, , , ,1,2,9,1,,1,2,,2, ,4,231028,23,1.248407558
1, , , , , , , , , , , , ,,2, ,2, , ,1,38495,, ,1,6,2,2, ,5,,1,2,1, ,5, , , , , , ,5, ,1, ,1, ,2, , , ,1,,,1, , , , , , , , ,2, ,1,, ,1, , , ,1,2,6,3,22,1,2,2,1,1,4,230293,23,1.248407558
1, , , , , , , , , , , , ,1,1,3,2, , ,2, ,, ,2,6,,2, ,4,6,2,2,4, ,5, , , , , , ,3, ,1, ,2, ,2, , , ,1,,,1, , , , , , , , ,2, ,1,6,2,2,9,, ,1,2,5,5,22,,2,3,1,1,4,230914,23,1.248407558
1, , , , , , , , , , , , ,,2, ,1,1, ,2, ,, ,1,4,5,2, ,5,4,,5,2, ,5, , , , , , ,2, ,1, ,2, ,2, , , ,1,,,1, , , , , , , , ,2, ,, , ,1, , , ,2,2,7,1,22,1,2,,1,7,4,231385,23,1.209977275
1, , , , , , , , , , , , ,1,1,2,2, , ,2, ,2, ,1,3,2,3, ,5,3,1,2,5, ,3, , , , , , ,1, ,1, ,1, ,2, , , ,1,1,1,1, , , , , , , , ,2, ,2,6,4,2,1,3,10,1,1,5,5,12,8,3,2,1,3,4,230005,23,1.248407558
1, , , , , , , , , , , , ,3,2, ,2, , ,2, ,2, ,1,5,7,2, ,5,3,5,3,4, ,2, , , , , , ,2, ,1, ,4, ,2, , , ,1,1,1,1, , , , , , , , ,2, ,1,6,2,1, , , ,1,2,3,3,14,7,4,2,2, ,4,230131,23,1.248407558
1, , , , , , , , , , , , ,4,1,2,2, , ,1,49478,3, ,1,8,6,6, ,5,8,2,4,7, ,3, , , , , , ,5, ,1, ,5, ,2, , , ,1,1,1,1, , , , , , , , ,2, ,1,2,6,1, , , ,2,2,4,1,22,2,3,,2, ,4,230134,23,1.248407558
1, , , , , , , , , , , , ,5,1,3,2, , ,2, ,2, ,1,8,2,4, ,5,8,1,2,6, ,6, , , , , , ,3, ,1, ,2, ,2, , , ,1,1,1,1, , , , , , , , ,2, ,2,4,3,1, , , ,1,2,4,5,15,7,3,3,1,1,4,230180,23,1.248407558
1, , , , , , , , , , , , ,2,1,3,2, , ,1,6163,, ,2,6,4,3, ,5,6,1,4,5, ,7, , , , , , ,2, ,1, ,4, ,2, , , ,1,1,1,1, , , , , , , , ,2, ,6,, ,1, , , ,1,1,6,6,13,3,4,,2, ,4,230188,23,1.248407558
1, , , , , , , , , , , , ,4,2, ,2, , ,2, ,1, ,1,3,3,2, ,3,3,1,4,4, , , , , , , , ,4, ,1, ,5, ,2, , , ,1,1,1,1, , , , , , , , ,2, ,1,2,,2,9,, ,2,2,4,5,12,3, , ,2, ,4,230190,23,1.248407558
1, , , , , , , , , , , , ,8,2, ,2, , ,2, ,, ,1,7,1,1, ,5,7,2,1,2, ,6, , , , , , ,4, ,1, ,2, ,2, , , ,1,1,1,1, , , , , , , , ,2, ,7,, ,1, , , ,1,2,9,1,22,2,2,,1,2,4,230194,23,1.248407558
1, , , , , , , , , , , , ,1,1,3,2, , ,1,45141,, ,1,6,4,2, ,5,6,1,4,4, ,5, , , , , , ,3, ,1, ,6, ,2, , , ,1,1,1,1, , , , , , , , ,2, ,1,4,6,1, , , ,1,2,5,4,12,3,3,,2, ,4,230283,23,1.248407558
